dc_id,lc_step,ADPe,ADPf,AP,CTUe,CTUh_c,CTUh_nc,Epf,Epm,Ept,GWP,GWPb,GWPf,GWPlu,IR,LU,ODP,PM,POCP,WU,MIPS,TPE
dc-generic-glo,manufacturing,5.68E-03,9.08E+02,7.77E-01,1.78E+03,3.79E-07,3.96E-06,2.60E-02,9.76E-02,1.06E+00,8.51E+01,2.58E-01,8.48E+01,7.75E-02,1.51E+02,2.06E+02,4.75E-06,5.00E-06,3.26E-01,7.74E+01,3.12E+02,1.16E+03,
dc-generic-glo,transport,6.30E-08,2.24E+01,1.01E-02,1.08E+00,2.81E-11,3.05E-09,6.01E-07,4.77E-03,5.21E-02,1.60E+00,0.00E+00,1.60E+00,0.00E+00,3.91E-03,0.00E+00,2.45E-09,8.23E-08,1.32E-02,6.07E-03,7.22E-01,2.24E+01,
dc-generic-glo,use,1.73E-02,4.06E+04,1.61E+01,9.31E+03,3.81E-06,3.00E-05,1.43E+00,3.10E+00,3.15E+01,3.14E+03,1.94E+00,3.13E+03,4.22E+00,4.22E+02,7.17E+03,4.61E-05,1.37E-04,9.31E+00,6.96E+02,0.00E+00,4.86E+04,
dc-generic-glo,end-of-life,3.78E-05,7.23E+01,5.23E-02,5.63E+02,3.82E-08,2.15E-07,2.09E-03,2.09E-02,8.22E-02,3.73E+00,1.74E-01,3.55E+00,2.76E-03,4.58E-01,1.40E+01,2.48E-07,4.08E-07,2.41E-02,0.00E+00,2.33E+01,8.36E+01
