id,lc_step,ADPe,ADPf,AP,CTUe,CTUh_c,CTUh_nc,Epf,Epm,Ept,GWP,GWPb,GWPf,GWPlu,IR,LU,ODP,PM,POCP,WU,MIPS,TPE
maintenance,manufacturing,3.13E-05,1.18E+02,4.12E-02,4.06E+01,9.88E-10,3.43E-07,2.65E-06,1.30E-02,1.62E-01,9.56E+00,2.51E-02,9.54E+00,6.71E-09,5.51E-01,2.46E-02,7.29E-06,1.63E-07,6.65E-02,7.23E-01,5.38E+00,1.18E+02
maintenance,transport,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
maintenance,use,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
maintenance,end-of-life,4.15E-08,1.33E+00,4.80E-04,3.18E+00,4.84E-11,1.40E-09,5.72E-07,1.23E-04,8.13E-04,9.30E-02,2.47E-02,6.83E-02,0.00E+00,6.83E-03,2.27E-02,1.05E-08,2.33E-09,2.67E-04,0.00E+00,1.48E-01,1.85E+00
