id,n_items,power,amortization_period,nb_rams,ram_size,nb_disks_ssd,disk_ssd_size,nb_disks_hdd,disk_hdd_size,ADPe,ADPf,AP,CTUe,CTUh_c,CTUh_nc,Epf,Epm,Ept,GWP,GWPf,GWPlu,IR,LU,ODP,PM,POCP,WU,TPE,ram_allocation,storage_allocation
small,62,400,5,12,32,6,1.92,0,0,0.009010304785087925,37603.90751808469,17.053827354655926,42039.56347426383,3.176426254390007E-7,1.8063258053918254E-5,0.007868733717127221,2.0238109035289527,21.276455689734732,2855.502608725893,1.679569303154354,2855.4500149299743,3.9445346938775514E-8,87.64130408316379,9.990845276746803,0.0010498493607571768,9.320215230664793E-5,6.468493286421048,1111.1774479823594,25,75
medium,38,400,5,12,32,4,15.36,0,0,0.0074369724599325894,137937.70001625118,62.373185989743895,154087.46409482064,1.105583281504244E-6,6.400554973869183E-5,0.02898833047309957,7.422561616545389,78.06438309051508,10469.589982157144,6.107496358677856,10469.547751626533,3.1672897959183675E-8,146.39792369416682,37.01075572346165,0.003878730518063338,3.4093035972066865E-4,23.680314019609003,4091.890239715439,25,75
large,3,400,5,24,32,10,7.68,0,0,0.016458716054780935,181635.65766370815,82.1800400525934,202926.65398259668,1.4713058089796608E-6,8.48655487149867E-5,0.03813813780881807,9.774142133634477,102.78890370118896,13787.498425573982,8.06057310409383,13787.40360124745,7.111824489795919E-8,238.33308662495872,48.63591156800912,0.005099699971297755,4.4916253049401516E-4,31.193930932287838,5391.703123011646,25,75
